iter	RMSE
0	77806.52889
1	76220.24698
2	74844.33085
3	73408.39945
4	72031.77454
5	70656.43834
6	69512.81525
7	68152.86356
8	67007.45806
9	65881.51484
10	64706.24746
11	63554.34122
12	62480.54621
13	61375.97485
14	60308.1014
15	59384.57306
16	58321.91504
17	57393.99335
18	56505.96652
19	55627.87267
20	54928.43141
21	54030.14729
22	53198.00799
23	52430.23528
24	51650.54525
25	50902.90231
26	50234.11504
27	49542.89989
28	48892.07585
29	48270.98314
30	47581.18375
31	46893.34133
32	46232.50126
33	45641.84655
34	45021.41204
35	44510.9042
36	44006.82318
37	43483.34233
38	42974.1919
39	42447.99022
40	41995.5549
41	41526.02992
42	41026.99359
43	40523.41693
44	40109.04265
45	39730.62573
46	39271.23381
47	38840.09776
48	38498.57457
49	38047.94468
50	37617.03886
51	37247.33707
52	36903.39529
53	36534.2827
54	36193.63652
55	35861.00376
56	35512.7923
57	35154.38493
58	34870.61758
59	34573.76972
60	34243.00935
61	33924.79992
62	33727.75132
63	33436.57593
64	33220.88032
65	32958.22317
66	32692.05113
67	32459.2445
68	32266.71314
69	32034.23438
70	31817.36498
71	31559.28192
72	31348.5622
73	31118.73695
74	30947.51127
75	30731.85786
76	30552.43175
77	30363.83197
78	30163.04792
79	30007.36439
80	29812.41026
81	29647.08346
82	29443.54937
83	29229.83095
84	29041.40282
85	28904.98878
86	28724.06659
87	28606.1926
88	28478.60445
89	28277.17158
90	28095.22141
91	27966.28665
92	27828.87413
93	27655.92293
94	27522.55405
95	27378.83324
96	27238.67089
97	27105.04221
98	26961.01735
99	26834.65604
100	26720.23814
101	26561.9695
102	26401.90038
103	26277.53171
104	26141.50851
105	26002.92863
106	25865.84861
107	25743.12014
108	25606.1612
109	25509.18434
110	25370.01653
111	25251.86307
112	25130.98931
113	24996.0183
114	24877.58349
115	24776.10944
116	24707.44792
117	24608.93611
118	24485.0744
119	24413.5289
120	24380.30821
121	24330.79976
122	24223.31179
123	24104.63283
124	24013.74241
125	23944.10426
126	23873.39421
127	23816.31714
128	23734.15629
129	23647.88053
130	23582.25208
131	23533.78075
132	23458.62475
133	23392.88476
134	23318.68935
135	23266.91732
136	23229.07225
137	23172.17331
138	23107.34167
139	23037.89094
140	22976.91801
141	22895.44515
142	22831.15538
143	22780.02663
144	22720.02386
145	22693.20329
146	22623.6748
147	22541.52083
148	22467.42181
149	22414.22541
150	22370.53615
151	22313.13301
152	22246.4192
153	22178.49971
154	22120.56718
155	22045.08591
156	21981.17381
157	21925.96306
158	21898.91111
159	21836.71402
160	21775.91104
161	21713.21017
162	21681.55048
163	21637.3653
164	21598.40765
165	21546.32517
166	21534.86878
167	21471.24654
168	21437.859
169	21375.5412
170	21324.47814
171	21303.95017
172	21260.79867
173	21234.91489
174	21164.89521
175	21104.25808
176	21049.13267
177	21000.69944
178	20928.83556
179	20876.01465
180	20825.16412
181	20782.04781
182	20737.17703
183	20721.81107
184	20690.23189
185	20636.10402
186	20587.90452
187	20549.67701
188	20527.68892
189	20478.0611
190	20424.46878
191	20398.93584
192	20362.02162
193	20328.87806
194	20288.9615
195	20247.76228
196	20216.72264
197	20173.23458
198	20134.76931
199	20104.54395
200	20053.72828
201	20041.29889
202	20024.19304
203	20002.63434
204	19975.64668
205	19922.76205
206	19898.45979
207	19867.40836
208	19827.92054
209	19800.74083
210	19776.03914
211	19758.88322
212	19717.22033
213	19689.24401
214	19659.98617
215	19611.61551
216	19570.85077
217	19550.6185
218	19510.64173
219	19478.53755
220	19452.49224
221	19429.6478
222	19381.89691
223	19356.41406
224	19335.20095
225	19301.72254
226	19290.96169
227	19256.98578
228	19231.30855
229	19201.17108
230	19189.36631
231	19168.53345
232	19159.32882
233	19134.90784
234	19114.30271
235	19079.39979
236	19052.12821
237	19021.01025
238	18998.09679
239	18988.07934
240	18948.73459
241	18925.16079
242	18900.90355
243	18871.16274
244	18837.24969
245	18816.26101
246	18790.29272
247	18767.28371
248	18749.08962
249	18717.96592
250	18691.55533
251	18661.16911
252	18651.76968
253	18625.35359
254	18597.38113
255	18582.94155
256	18556.86035
257	18535.97539
258	18506.00146
259	18476.88949
260	18458.52426
261	18429.14654
262	18394.81933
263	18384.29485
264	18374.25895
265	18359.73109
266	18344.74638
267	18324.98076
268	18301.44472
269	18277.39505
270	18258.39868
271	18244.18969
272	18206.4879
273	18178.47727
274	18170.6644
275	18155.45958
276	18142.30023
277	18120.84294
278	18110.39093
279	18096.75703
280	18071.28265
281	18051.03195
282	18026.62504
283	18009.64305
284	17998.60129
285	17973.31211
286	17944.89019
287	17912.95797
288	17887.98285
289	17871.63521
290	17839.73194
291	17814.67355
292	17787.11235
293	17775.44577
294	17748.13975
295	17720.86346
296	17713.21132
297	17684.47316
298	17666.39983
299	17656.62663
300	17637.12463
301	17614.43522
302	17605.10662
303	17573.1792
304	17550.7076
305	17527.9335
306	17507.68401
307	17478.77906
308	17451.15839
309	17432.3079
310	17419.05672
311	17407.76181
312	17384.44634
313	17365.08136
314	17346.43545
315	17322.63116
316	17309.78863
317	17295.23333
318	17274.48104
319	17249.03646
320	17236.68989
321	17223.73216
322	17199.51267
323	17192.57794
324	17161.7648
325	17151.95755
326	17139.75012
327	17115.35086
328	17094.79146
329	17070.93304
330	17063.27845
331	17043.15866
332	17018.03546
333	16993.26344
334	16971.8542
335	16944.83933
336	16932.5352
337	16919.38974
338	16906.76138
339	16899.64559
340	16878.6641
341	16861.63112
342	16836.81786
343	16820.95664
344	16808.47996
345	16797.75016
346	16784.2699
347	16764.00551
348	16755.55454
349	16748.76455
350	16730.78511
351	16712.25193
352	16695.70856
353	16694.41188
354	16673.23664
355	16667.95546
356	16666.13667
357	16656.09654
358	16627.31845
359	16617.15084
360	16604.38287
361	16584.66227
362	16576.27448
363	16562.45394
364	16526.27878
365	16517.23867
366	16499.35504
367	16487.66877
368	16467.16175
369	16452.79367
370	16436.84298
371	16427.35618
372	16418.62494
373	16403.38971
374	16394.85653
375	16376.65735
376	16372.10152
377	16366.87296
378	16352.13227
379	16338.19614
380	16322.03862
381	16312.97667
382	16299.20349
383	16290.15391
384	16266.93498
385	16257.5794
386	16245.80733
387	16226.80206
388	16211.949
389	16208.51188
390	16194.33001
391	16191.31524
392	16178.15799
393	16173.7499
394	16171.18142
395	16157.86975
396	16133.26308
397	16130.52902
398	16123.75889
399	16121.60378
400	16111.97453
401	16108.35491
402	16099.37157
403	16076.37638
404	16054.92956
405	16034.91849
406	16021.20118
407	16014.99153
408	15996.66487
409	15984.33159
410	15973.37349
411	15957.73979
412	15942.93076
413	15932.14861
414	15913.26848
415	15911.83072
416	15910.41555
417	15900.75053
418	15892.57498
419	15884.37498
420	15870.9029
421	15843.6205
422	15832.57674
423	15808.50349
424	15794.58712
425	15785.8799
426	15766.00693
427	15758.91466
428	15756.96782
429	15735.53336
430	15713.45779
431	15689.96182
432	15667.34036
433	15645.28269
434	15643.48699
435	15629.05829
436	15618.38956
437	15602.55881
438	15590.4868
439	15562.50483
440	15545.16514
441	15528.76325
442	15519.76655
443	15495.70352
444	15483.13631
445	15469.90091
446	15467.10577
447	15452.85601
448	15433.49619
449	15431.76105
450	15420.32475
451	15397.79003
452	15396.05823
453	15380.50224
454	15365.25293
455	15351.94362
456	15336.49966
457	15325.18309
458	15309.76381
459	15298.47639
460	15294.976
461	15284.80812
462	15267.35021
463	15252.35201
464	15239.10406
465	15225.90796
466	15222.4313
467	15202.56289
468	15184.00433
469	15173.87475
470	15167.47603
471	15144.58389
472	15140.13921
473	15126.47704
474	15113.13946
475	15085.67854
476	15083.2696
477	15081.88449
478	15076.78347
479	15057.9304
480	15036.30305
481	15017.10862
482	15000.15374
483	14991.7466
484	14976.95572
485	14958.00679
486	14937.52574
487	14928.15733
488	14917.36299
489	14896.91466
490	14895.71943
491	14894.12784
492	14884.65171
493	14868.12967
494	14858.11236
495	14850.74484
496	14842.09205
497	14832.02246
498	14817.35623
499	14816.46499
500	14810.48025
501	14798.42846
502	14784.99759
503	14773.42501
504	14763.28664
505	14754.36392
506	14746.62687
507	14745.40892
508	14735.42962
509	14733.58381
510	14717.4931
511	14716.33013
512	14704.79708
513	14687.03743
514	14679.19013
515	14678.16011
516	14670.54723
517	14654.76448
518	14650.49023
519	14633.75382
520	14609.95208
521	14599.49972
522	14586.79857
523	14577.43165
524	14570.57537
525	14569.45334
526	14567.43599
527	14547.04004
528	14542.15673
529	14527.37372
530	14524.46169
531	14514.77196
532	14506.33236
533	14488.19747
534	14478.49088
535	14467.23883
536	14459.75581
537	14451.66988
538	14441.16426
539	14438.34109
540	14432.48059
541	14429.20939
542	14418.00247
543	14403.86149
544	14401.3219
545	14391.44926
546	14379.35162
547	14363.68551
548	14356.40402
549	14353.88114
550	14344.05479
