iter	Passed	Remaining
0	12	51636
1	25	50181
2	39	52016
3	50	50524
4	63	50984
5	78	51951
6	90	51625
7	103	51475
8	115	51380
9	127	50685
10	142	51611
11	154	51378
12	165	50755
13	176	50276
14	190	50508
15	197	49212
16	210	49264
17	223	49400
18	235	49423
19	248	49355
20	268	50870
21	282	51103
22	294	50917
23	306	50715
24	317	50460
25	330	50442
26	342	50362
27	354	50318
28	365	50066
29	378	50109
30	390	49969
31	402	49894
32	420	50549
33	432	50486
34	444	50375
35	458	50442
36	469	50262
37	481	50193
38	491	49950
39	503	49876
40	516	49851
41	528	49808
42	540	49759
43	552	49695
44	560	49303
45	573	49288
46	585	49250
47	598	49249
48	609	49130
49	623	49283
50	636	49277
51	647	49147
52	660	49160
53	676	49465
54	688	49375
55	700	49303
56	712	49255
57	723	49156
58	736	49167
59	748	49125
60	759	49054
61	774	49207
62	779	48704
63	789	48565
64	800	48468
65	813	48473
66	824	48399
67	835	48319
68	843	48033
69	855	48012
70	867	47982
71	881	48117
72	896	48204
73	907	48129
74	921	48236
75	932	48155
76	944	48126
77	958	48191
78	973	48321
79	985	48294
80	998	48288
81	1010	48301
82	1025	48377
83	1038	48435
84	1050	48390
85	1066	48529
86	1078	48486
87	1092	48548
88	1105	48587
89	1118	48592
90	1130	48552
91	1141	48503
92	1154	48496
93	1165	48429
94	1177	48414
95	1190	48400
96	1202	48379
97	1213	48307
98	1226	48317
99	1258	49079
100	1272	49135
101	1289	49286
102	1305	49391
103	1317	49353
104	1332	49444
105	1345	49421
106	1360	49500
107	1372	49442
108	1384	49406
109	1397	49405
110	1411	49455
111	1423	49411
112	1437	49440
113	1449	49426
114	1461	49367
115	1476	49435
116	1490	49466
117	1504	49490
118	1516	49445
119	1531	49514
120	1544	49499
121	1562	49670
122	1577	49719
123	1577	49719
124	1589	49676
125	1601	49636
126	1614	49624
127	2433	74196
128	2445	73956
129	2463	73911
130	2481	73842
131	2494	73661
132	2507	73455
133	2518	73207
134	2531	73023
135	2545	72850
136	2558	72671
137	2570	72469
138	2583	72277
139	2593	72027
140	2605	71822
141	2616	71600
142	2628	71405
143	2643	71290
144	2655	71093
145	2677	71161
146	2689	70981
147	2704	70868
148	2715	70662
149	2727	70474
150	2739	70306
151	2752	70138
152	2763	69951
153	2774	69738
154	2786	69573
155	2797	69382
156	2811	69263
157	2826	69159
158	2839	69031
159	2853	68912
160	2864	68741
161	2876	68570
162	2888	68418
163	2897	68199
164	2910	68067
165	2922	67915
166	2929	67651
167	2941	67507
168	2959	67476
169	2970	67325
170	2982	67185
171	2996	67087
172	3019	67174
173	3033	67094
174	3050	67050
175	3064	66956
176	3077	66853
177	3093	66790
178	3104	66650
179	3117	66522
180	3127	66365
181	3144	66327
182	3156	66197
183	3170	66121
184	3183	66013
185	3195	65877
186	3207	65744
187	3219	65625
188	3232	65523
189	3243	65382
190	3258	65321
191	3269	65183
192	3281	65058
193	3293	64956
194	3309	64918
195	3322	64820
196	3333	64687
197	3348	64619
198	3360	64509
199	3374	64445
200	3389	64374
201	3395	64154
202	3405	64009
203	3417	63913
204	3429	63808
205	3444	63755
206	3455	63625
207	3468	63547
208	3481	63450
209	3495	63387
210	3506	63273
211	3520	63201
212	3532	63107
213	3544	63007
214	3558	62946
215	3572	62871
216	3587	62823
217	3600	62757
218	3612	62647
219	3622	62529
220	3633	62419
221	3645	62327
222	3657	62222
223	3671	62161
224	3682	62066
225	3694	61977
226	3708	61915
227	3721	61835
